path,normalized_path,metric_id,score,passed,gold_value,extracted_value,reason,reasoning
$.properties.items,items,error_138134563632704,0.000000,false,,,,
$.properties.items.items.properties.positive_predictive_value,items.items.positive_predictive_value,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.subgroup_type,items.items.subgroup_type,string_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.accuracy,items.items.accuracy,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.negative_predictive_value,items.items.negative_predictive_value,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.sensitivity,items.items.sensitivity,number_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.radiotracer_name,items.items.radiotracer_name,string_semantic,1.000000,true,,,both_null,
$.properties.items.items.properties.patient_count,items.items.patient_count,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.total_patients,items.items.total_patients,integer_exact,1.000000,true,,,both_null,
$.properties.items.items.properties.specificity,items.items.specificity,number_exact,1.000000,true,,,both_null,
